flag_name,flag_id,map_name,map_area_name,map_override_name,set_or_used,asset_path
ScenarioFlag1,0,Map_20250,Castle Tycoon,MSG_MAP_NAME_19,Use,Assets/GameAssets/Serial/Res/Map/Map_20250/Map_20250/sc_map_20250
ScenarioFlag1,1,Map_30010,Tycoon Meteorite,,Set,Assets/GameAssets/Serial/Res/Map/Map_30010/Map_30010/sc_e_0002
ScenarioFlag1,1,Map_30010,Tycoon Meteorite,,Use,Assets/GameAssets/Serial/Res/Map/Map_30010/Map_30010/sc_map_30010
ScenarioFlag1,2,Map_30010,Tycoon Meteorite,,Set,Assets/GameAssets/Serial/Res/Map/Map_30010/Map_30010/sc_e_0003_1
ScenarioFlag1,2,Map_30010,Tycoon Meteorite,,Use,Assets/GameAssets/Serial/Res/Map/Map_30010/Map_30010/sc_30010_to_10010
ScenarioFlag1,2,Map_30010,Tycoon Meteorite,,Use,Assets/GameAssets/Serial/Res/Map/Map_30010/Map_30010/sc_map_30010
ScenarioFlag1,3,Map_30010,Tycoon Meteorite,,Set,Assets/GameAssets/Serial/Res/Map/Map_30010/Map_30010/sc_e_0004
ScenarioFlag1,3,Map_30010,Tycoon Meteorite,,Use,Assets/GameAssets/Serial/Res/Map/Map_30010/Map_30010/sc_30010_to_10010
ScenarioFlag1,3,Map_30010,Tycoon Meteorite,,Use,Assets/GameAssets/Serial/Res/Map/Map_30010/Map_30010/sc_e_0005
ScenarioFlag1,3,Map_30010,Tycoon Meteorite,,Use,Assets/GameAssets/Serial/Res/Map/Map_30010/Map_30010/sc_map_30010
ScenarioFlag1,4,Map_30010,Tycoon Meteorite,,Set,Assets/GameAssets/Serial/Res/Map/Map_30010/Map_30010/sc_e_0005
ScenarioFlag1,4,Map_30010,Tycoon Meteorite,,Use,Assets/GameAssets/Serial/Res/Map/Map_30010/Map_30010/sc_map_30010
ScenarioFlag1,5,Map_40001,Western Valley,,Set,Assets/GameAssets/Serial/Res/Map/Map_40001/Map_40001/sc_e_0006_1
ScenarioFlag1,5,Map_40001,Western Valley,,Use,Assets/GameAssets/Serial/Res/Map/Map_40001/Map_40001/sc_map_40001
ScenarioFlag1,7,Map_30021_1,Cave - 1F,MSG_ARA_NAME_24,Set,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_1/sc_e_0008_1
ScenarioFlag1,7,Map_30020,Cave - Entrance,MSG_ARA_NAME_110,Use,Assets/GameAssets/Serial/Res/Map/Map_30020/Map_30020/sc_map_30020
ScenarioFlag1,7,Map_30021_2,Cave - 2F,MSG_ARA_NAME_25,Use,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_2/sc_map_30021_2
ScenarioFlag1,7,Map_30021_4,Pirates' Hideout,,Use,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_4/sc_map_30021_4
ScenarioFlag1,8,Map_30021_2,Cave - 2F,MSG_ARA_NAME_25,Set,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_2/sc_e_0009
ScenarioFlag1,8,Map_30021_2,Cave - 2F,MSG_ARA_NAME_25,Use,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_2/sc_map_30021_2
ScenarioFlag1,8,Map_30021_3,Cave - 3F,MSG_ARA_NAME_26,Use,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_3/sc_map_30021_3
ScenarioFlag1,9,Map_30021_3,Cave - 3F,MSG_ARA_NAME_26,Set,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_3/sc_e_0010_2
ScenarioFlag1,9,Map_30021_3,Cave - 3F,MSG_ARA_NAME_26,Use,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_3/sc_map_30021_3
ScenarioFlag1,10,Map_30021_4,Pirates' Hideout,,Set,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_4/sc_e_0011
ScenarioFlag1,10,Map_30021_4,Pirates' Hideout,,Use,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_4/sc_map_30021_4
ScenarioFlag1,10,Map_30030,Pirate Ship - Above Deck,,Use,Assets/GameAssets/Serial/Res/Map/Map_30030/Map_30030/sc_map_30030
ScenarioFlag1,11,Map_30021_4,Pirates' Hideout,,Set,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_4/sc_e_0012
ScenarioFlag1,12,Map_30020,Cave - Entrance,MSG_ARA_NAME_110,Use,Assets/GameAssets/Serial/Res/Map/Map_30020/Map_30020/sc_map_30020
ScenarioFlag1,12,Map_30021_1,Cave - 1F,MSG_ARA_NAME_24,Use,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_1/sc_30021_1_to_30020
ScenarioFlag1,12,Map_30021_4,Pirates' Hideout,,Use,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_4/sc_map_30021_4
ScenarioFlag1,14,Map_30041_1,Wind Shrine,MSG_ARA_NAME_24,Set,Assets/GameAssets/Serial/Res/Map/Map_30041/Map_30041_1/sc_e_0015
ScenarioFlag1,14,Map_30041_1,Wind Shrine,MSG_ARA_NAME_24,Use,Assets/GameAssets/Serial/Res/Map/Map_30041/Map_30041_1/sc_map_30041_1
ScenarioFlag1,15,Map_30041_4,Wind Shrine - 3F,MSG_ARA_NAME_26,Set,Assets/GameAssets/Serial/Res/Map/Map_30041/Map_30041_4/sc_e_0016_1
ScenarioFlag1,15,Map_30041_4,Wind Shrine - 3F,MSG_ARA_NAME_26,Use,Assets/GameAssets/Serial/Res/Map/Map_30041/Map_30041_4/sc_map_30041_4
ScenarioFlag1,16,Map_30041_8,Wind Shrine,MSG_ARA_NAME_80,Set,Assets/GameAssets/Serial/Res/Map/Map_30041/Map_30041_8/sc_e_0017_9
ScenarioFlag1,16,Map_20011_9,Tule - Zok's House,MSG_MAP_NAME_11,Use,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_9/sc_map_20011_9
ScenarioFlag1,16,Map_30041_1,Wind Shrine,MSG_ARA_NAME_24,Use,Assets/GameAssets/Serial/Res/Map/Map_30041/Map_30041_1/sc_map_30041_1
ScenarioFlag1,16,Map_30041_8,Wind Shrine,MSG_ARA_NAME_80,Use,Assets/GameAssets/Serial/Res/Map/Map_30041/Map_30041_8/sc_map_30041_8
